name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"30.183, -97.68",2021-09-24,86.1,51.2,68,83.4,51.2,67.4,49.3,56.9,0,0,0,,0,0,18.8,10.3,117.4,1017.4,18.8,9.9,224.7,19.4,8,,2021-09-24T07:20:18,2021-09-24T19:24:28,0.62,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-09-25,88.1,53.9,70,85.4,53.9,69.4,53.4,61.8,0,0,0,,0,0,16.6,6.9,137.4,1018.3,39.2,9.9,222.3,19,8,,2021-09-25T07:20:52,2021-09-25T19:23:13,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-26,88.1,53.9,71.6,85.5,53.9,70.9,53.5,58.9,0,0,0,,0,0,18.3,9.2,147.1,1017.1,40.8,9.9,225.2,19.6,8,,2021-09-26T07:21:26,2021-09-26T19:21:58,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-27,89,57.8,73.5,88.3,57.8,73.4,59.8,66.4,0,0,0,,0,0,18.1,9.2,169,1014.5,55.8,9.9,207.7,18,7,,2021-09-27T07:22:00,2021-09-27T19:20:43,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-28,95.1,68.1,78.3,98.4,68.1,79.5,67.1,72.2,0.051,100,4.17,rain,0,0,36.7,18.3,129.5,1010.4,68.3,9.4,173.5,15,7,,2021-09-28T07:22:34,2021-09-28T19:19:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"C2969,72254013904"
"30.183, -97.68",2021-09-29,86.1,66.8,74.7,89.6,66.8,75.5,67.4,80,0.554,100,29.17,rain,0,0,35.6,20.8,142.9,1010.3,55.8,9.7,190.8,16.4,7,,2021-09-29T07:23:08,2021-09-29T19:18:14,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"C2969,72254013904"
"30.183, -97.68",2021-09-30,91.1,71.9,78.4,96.2,71.9,80.1,71.6,82.1,0,0,0,,0,0,32.2,19.7,135.2,1012.1,71.7,8.8,167.2,14.6,7,,2021-09-30T07:23:43,2021-09-30T19:17:00,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-01,84.8,65.9,73.7,87.5,65.9,74.2,68.7,85.9,0.54,100,20.83,rain,0,0,17.9,15,61.2,1015,84.2,9.4,153.9,13.4,8,,2021-10-01T07:24:17,2021-10-01T19:15:47,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"C2969,72254013904"
"30.183, -97.68",2021-10-02,86.1,66.8,76.3,90.3,66.8,77.3,69.4,80.7,0,0,0,,0,0,12.1,8.1,82.5,1015.9,78.3,9.5,131.1,11.4,6,,2021-10-02T07:24:52,2021-10-02T19:14:34,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-03,89.9,68.1,78.2,91.4,68.1,78.8,66.5,71,0,0,0,,0,0,19,11.4,18.2,1015.4,67.5,9.9,180,15.6,7,,2021-10-03T07:25:28,2021-10-03T19:13:21,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-04,89,62.9,75.3,86.3,62.9,74.6,58.3,62.7,0,0,0,,0,0,21.9,15,4.5,1015.8,43.8,9.9,215.7,18.8,8,,2021-10-04T07:26:03,2021-10-04T19:12:08,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-05,88.1,56,71.3,85,56,70.4,51.8,58.2,0,0,0,,0,0,19.9,13.9,359.8,1016.1,15,9.9,212.8,18.3,7,,2021-10-05T07:26:39,2021-10-05T19:10:56,0.98,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-10-06,87.2,55.1,70.7,84.9,55.1,70.1,53.3,59.2,0,0,0,,0,0,13.6,8.1,98.8,1016.4,32.5,9.9,195.9,16.9,7,,2021-10-06T07:27:15,2021-10-06T19:09:45,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-07,89,56.9,72.5,89,56.9,72.5,59.6,67.8,0,0,0,,0,0,20.8,13.9,181,1017,12.5,9.9,206.2,18,7,,2021-10-07T07:27:52,2021-10-07T19:08:34,0.04,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-10-08,89,60.2,74,89,60.2,74.1,61.1,68.1,0,0,0,,0,0,21.9,12.8,186,1016.8,29.6,9.8,207.3,18,7,,2021-10-08T07:28:29,2021-10-08T19:07:23,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-09,87.2,56.9,72,87.6,56.9,72.3,62.6,76,0,0,0,,0,0,24.2,13.9,183.8,1013.8,36.7,9.8,212.1,18.3,7,,2021-10-09T07:29:06,2021-10-09T19:06:13,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-10,92,65,78.7,98.8,65,81.6,70.6,78.6,0,0,0,,0,0,39.1,24.2,175.5,1007.1,82.5,9.9,128.5,11.1,6,,2021-10-10T07:29:43,2021-10-10T19:05:04,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-11,80.9,61.1,71.1,80.5,61.1,71,57.6,66.1,0.741,100,8.33,rain,0,0,28.6,11.4,44.1,1010.5,47.9,9.6,184.5,15.9,7,,2021-10-11T07:30:21,2021-10-11T19:03:55,0.19,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"C2969,72254013904"
"30.183, -97.68",2021-10-12,88.1,69.2,77,96.9,69.2,78.9,70.9,82.4,0.068,100,20.83,rain,0,0,33.3,21.9,156.7,1009.6,94.6,7.8,78.4,6.7,4,,2021-10-12T07:30:59,2021-10-12T19:02:47,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"C2969,72254013904"
"30.183, -97.68",2021-10-13,87.2,68.1,80.7,94.8,68.1,83.4,72.5,77.2,0.642,100,4.17,rain,0,0,33.3,17.2,169.7,1008.2,92.9,9.6,95.7,8.3,4,,2021-10-13T07:31:37,2021-10-13T19:01:39,0.26,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"C2969,72254013904"
"30.183, -97.68",2021-10-14,79.1,66.8,72.2,79.1,66.8,72.2,69.7,92.3,2.784,100,20.83,rain,0,0,21.3,10.3,90.8,1009.5,80.8,8.8,55.5,4.9,2,,2021-10-14T07:32:16,2021-10-14T19:00:33,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"C2969,72254013904"
"30.183, -97.68",2021-10-15,88.1,64.1,73.3,93.3,64.1,74.2,64.2,76.4,0,0,0,,0,0,31.1,20.8,352.4,1014.2,66.3,9.1,162,14.1,7,,2021-10-15T07:32:56,2021-10-15T18:59:27,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-16,74,50.1,63.5,74,50.1,63.5,42.1,48.3,0,0,0,,0,0,26.2,18.3,11.9,1025.3,44.2,9.9,207.8,18,8,,2021-10-16T07:33:35,2021-10-16T18:58:21,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-17,73.1,46.1,58.7,73.1,46,58.5,43.1,62.4,0,0,0,,0,0,12.1,9.2,70.7,1025,67.5,9.9,201,17.4,7,,2021-10-17T07:34:15,2021-10-17T18:57:17,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-18,77.1,44.9,60.5,77.1,44.9,60.5,47.9,68.3,0,0,0,,0,0,17.9,10.3,158.3,1019.5,47.1,9.9,194.4,16.8,7,,2021-10-18T07:34:56,2021-10-18T18:56:13,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-19,83,51.2,67.2,83,51.2,67.3,57.2,73.4,0,0,0,,0,0,24.6,15,164.1,1016.3,71.7,9.8,190.3,16.4,7,,2021-10-19T07:35:36,2021-10-19T18:55:10,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-20,78.2,61.1,67.9,78.2,61.1,67.9,64.7,90.1,0,0,0,,0,0,17,9.2,173.3,1017.8,68.8,9.9,105.3,9.1,5,,2021-10-20T07:36:18,2021-10-20T18:54:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-21,83.9,60.2,70.8,85.7,60.2,71.4,63.6,81.2,0,0,0,,0,0,11.9,6.9,38.4,1019.1,50.4,9.9,121.5,10.5,5,,2021-10-21T07:36:59,2021-10-21T18:53:08,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-22,86.1,62,72.3,86.9,62,72.7,63.7,76.9,0,0,0,,0,0,13.4,8.1,129.2,1016.3,42.5,9.9,168.9,14.6,7,,2021-10-22T07:37:42,2021-10-22T18:52:07,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-23,87.2,69.2,76.3,90,69.2,77.2,67.9,77,0,0,0,,0,0,26.6,19.7,176.4,1011.5,62.9,8.9,151.2,13.2,7,,2021-10-23T07:38:24,2021-10-23T18:51:08,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904,72254413958"
"30.183, -97.68",2021-10-24,86.1,66.8,74.6,88.8,66.8,75.3,68.4,83,0.012,100,4.17,rain,0,0,19.9,11.4,174.4,1009.9,68.8,7.5,126,10.9,6,,2021-10-24T07:39:07,2021-10-24T18:50:10,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"C2969,72254013904"
"30.183, -97.68",2021-10-25,88.1,69.2,75.9,96,69.2,77.7,71.1,86.3,0,0,0,,0,0,16.6,11.4,174.5,1012.7,50.4,9.4,133.7,11.5,7,,2021-10-25T07:39:50,2021-10-25T18:49:13,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-26,84.8,70.1,77.5,90,70.1,78.9,71,81.6,0,0,0,,0,0,30,18.3,167.5,1009.2,84.2,9.3,98.1,8.7,5,,2021-10-26T07:40:34,2021-10-26T18:48:17,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-10-27,78.2,60.2,71.5,78.2,60.2,71.5,54.1,59.9,0.823,100,12.5,rain,0,0,52.8,21.9,256.1,1004.4,53.3,9.6,176.4,15.5,7,,2021-10-27T07:41:18,2021-10-27T18:47:22,0.73,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"C2969,72254013904"
"30.183, -97.68",2021-10-28,78.2,53.9,66.1,78.2,53.9,66.1,35.6,35.1,0,0,0,,0,0,48.3,25.3,306,1012.4,5,9.8,187.3,16.3,7,,2021-10-28T07:42:03,2021-10-28T18:46:29,0.75,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-10-29,74,47.9,61.8,74,46,61.8,32,36.3,0,0,0,,0,0,35.6,20.8,311.6,1015.9,2.5,9.9,188.9,16.3,7,,2021-10-29T07:42:48,2021-10-29T18:45:36,0.8,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-10-30,79.1,39.8,59.1,79.1,39.8,58.5,39.1,53.5,0,0,0,,0,0,13.4,10.3,222.2,1014.2,2.5,9.9,183.5,15.7,7,,2021-10-30T07:43:33,2021-10-30T18:44:44,0.83,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-10-31,80.9,43.1,61.3,80.8,43.1,61.2,50.2,71.4,0,0,0,,0,0,17.7,11.4,157.5,1016.1,0,9.9,177.5,15.2,7,,2021-10-31T07:44:19,2021-10-31T18:43:54,0.86,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-11-01,80,47,62.4,80,47,62.4,54,77.6,0,0,0,,0,0,17.9,12.8,160.9,1020.7,22.5,9.8,173.6,15,7,,2021-11-01T07:45:05,2021-11-01T18:43:05,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-02,78.2,53,65.1,78.2,53,65.1,59.2,83,0,0,0,,0,0,17.9,8.1,76.6,1021.4,48.8,9,114,10,5,,2021-11-02T07:45:52,2021-11-02T18:42:17,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-03,68.1,50.1,56.8,68.1,50.1,56.8,54.4,91.7,2.035,100,50,rain,0,0,33.3,18.3,12.8,1021.4,99.2,7.6,10,0.7,1,,2021-11-03T07:46:39,2021-11-03T18:41:31,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"C2969,72254013904"
"30.183, -97.68",2021-11-04,60.2,44.9,51.6,60.2,42.4,50.8,45.3,79.8,0,0,0,,0,0,23,19.7,9.9,1024.6,75.8,9.7,90.1,7.9,4,,2021-11-04T07:47:26,2021-11-04T18:40:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-05,62.9,38.9,49.9,62.9,38.9,49.8,40.7,74.2,0,0,0,,0,0,12.3,6.9,43.5,1023.9,8.8,9.9,165.6,14.2,6,,2021-11-05T07:48:14,2021-11-05T18:40:02,0.03,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-11-06,69.2,38,51.2,69.2,36.7,51.1,43.1,77.8,0,0,0,,0,0,9.4,4.7,106.1,1024,1.3,9.8,170.5,14.7,6,,2021-11-06T07:49:02,2021-11-06T18:39:20,0.06,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-11-07,73.1,37.1,54.6,73.1,37.1,54.6,46.4,77.7,0,0,0,,0,0,17.2,10.3,170.4,1022.9,3.6,9.6,163.8,14.7,6,,2021-11-07T06:49:50,2021-11-07T17:38:38,0.1,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-11-08,77.1,44,60.1,77.1,44,60.1,53.5,82,0,0,0,,0,0,20.4,12.8,173.4,1022.6,21.3,7.5,156.5,13.5,7,,2021-11-08T06:50:39,2021-11-08T17:37:59,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-09,75.8,50.1,61.6,75.8,50.1,61.6,57,86.4,0,0,0,,0,0,19.2,9.2,161.3,1021,61.7,7.6,117,10.1,5,,2021-11-09T06:51:28,2021-11-09T17:37:21,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-10,80,59.1,69.3,80,59.1,69.3,61.4,77.9,0,0,0,,0,0,31.8,20.8,180.8,1013.1,74.2,9.9,103.5,8.9,5,,2021-11-10T06:52:17,2021-11-10T17:36:44,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-11,74,47.9,64.2,74,47.9,64.2,49.8,63.2,0,0,0,,0,0,24.2,17.2,3.3,1016.7,20.4,9.9,165.5,14.2,6,,2021-11-11T06:53:07,2021-11-11T17:36:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-12,77.1,42.2,57.4,77.1,41.5,57.1,44.1,64.9,0,0,0,,0,0,19.7,15,347.1,1021.5,10.8,9.9,156.5,13.3,6,,2021-11-12T06:53:56,2021-11-12T17:35:35,0.27,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-11-13,69.2,37.1,52,69.2,37.1,51.6,34.5,57.9,0,0,0,,0,0,13.2,9.2,165,1024.6,32.5,9.9,169,14.6,6,,2021-11-13T06:54:46,2021-11-13T17:35:03,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-14,78.2,42.2,58.9,78.2,40.4,58.7,49.2,72.9,0,0,0,,0,0,21.5,13.9,199.5,1019.7,23.8,9.9,160.3,13.9,6,,2021-11-14T06:55:36,2021-11-14T17:34:32,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-15,80.9,50.1,65,81.7,50.1,65,57.5,79.8,0,0,0,,0,0,24.8,16.1,197.7,1019.4,25.4,9.2,137,11.8,6,,2021-11-15T06:56:27,2021-11-15T17:34:03,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-16,80.9,62,69.6,81.7,62,69.6,61.9,78.6,0,0,0,,0,0,31.1,19.7,182.4,1015.6,62.5,8.9,111.7,9.7,5,,2021-11-16T06:57:17,2021-11-16T17:33:35,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-17,82.1,59.1,69.6,82.5,59.1,69.7,60.5,75.4,0,0,0,,0,0,36.7,24.2,190,1014.6,36.7,9.9,158.1,13.4,6,,2021-11-17T06:58:07,2021-11-17T17:33:09,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-18,66.8,53.9,59.2,66.8,53.9,59.2,32,35.8,0,0,0,,0,0,33.3,24.2,4.7,1026.7,77.5,9.9,123.7,10.7,5,,2021-11-18T06:58:58,2021-11-18T17:32:45,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-19,65.9,41.1,52.5,65.9,35.4,51.4,30.9,46.4,0,0,0,,0,0,15.4,11.4,44,1028.1,13.8,9.9,152.9,13.3,6,,2021-11-19T06:59:48,2021-11-19T17:32:22,0.5,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-11-20,71.9,44,58,71.9,42.5,57.8,53.1,84.9,0,0,0,,0,0,30,13.9,193.3,1020.9,68.3,8.8,72.7,6.3,3,,2021-11-20T07:00:39,2021-11-20T17:32:01,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-11-21,78.2,60.2,68.1,78.2,60.2,68.1,59.4,75.8,0,0,0,,0,0,29.8,17.2,323.5,1019.3,93.3,9.9,63.2,5.3,3,,2021-11-21T07:01:29,2021-11-21T17:31:42,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"C2969,72254013904"
"30.183, -97.68",2021-11-22,69.2,38.9,55.8,69.2,38.9,55.7,35.1,48.9,0,0,0,,0,0,23,16.1,352.7,1025.4,40.4,9.9,152.8,13.2,6,,2021-11-22T07:02:20,2021-11-22T17:31:24,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
